gene	exprs	cell_type
TNFAIP3	17395	teNK
NR4A1	4477.5	teNK
XDH	4354	teNK
CEMIP2	4701.5	hNK
ITGA4	23993	teNK
AARS	2609.25	hNK
SLC7A5	3681	hNK
S1PR5	4765	teNK
KLRG1	2438	teNK
PMEPA1	1392.25	hNK
RASGRP2	3853.75	teNK
NR4A2	4078	teNK
SLA	3995	teNK
LGALS3	2359.75	hNK
MTHFD2	1002	hNK
FAM129A	4401	hNK
SYTL3	3141.5	teNK
ZEB2	15102	teNK
NFKBIA	4874.5	teNK
TBX21	5889.5	teNK
ZFP36	3498.75	teNK
ITGB2	20630.75	teNK
CARS	1421	hNK
FNDC3A	3457.75	hNK
ACPP	1159	hNK
SGK1	6026.25	teNK
SHMT2	1525.25	hNK
CPD	1389.25	hNK
SARS	2744.5	hNK
ASNS	876.75	hNK
ADAMTS14	9901	teNK
RAP1GAP2	3657.5	teNK
FOS	4728.5	teNK
IARS	2482.5	hNK
ATP2A3	8233.5	teNK
C15orf39	1929	hNK
XPOT	2012	hNK
HSPA9	3232.5	hNK
AIM2	1755.25	hNK
KLF3	7302.5	teNK
PRF1	19585.25	teNK
ALDOA	3141	hNK
KLF2	12111	teNK
RNF213	4834.75	hNK
SLC44A2	3794.75	teNK
IER2	5705.5	teNK
FOSB	2545.5	teNK
ABCA1	931	teNK
SLC7A1	1959	hNK
ACP5	846	teNK
RBPJ	795.5	hNK
TXNRD1	3364.25	hNK
ALDH18A1	1439.25	hNK
RACGAP1	2269.25	teNK
SERPINB6	4875.5	teNK
NHSL2	812.5	teNK
ARHGEF2	7163.25	teNK
OSBPL1A	536.5	hNK
ADGRE5	15587.5	teNK
PPP1R15A	2175.5	teNK
CMKLR1	1513.75	teNK
CBFA2T3	714	teNK
TM6SF1	4017.5	teNK
ATXN1	1050	hNK
TAGAP	2430.5	teNK
ARHGEF18	7821.25	teNK
NCR1	14249	teNK
HEATR9	1539.5	teNK
GRAMD4	3401.5	teNK
FTL	3440	hNK
THBS1	2636.25	teNK
